ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
1;PRC;Health;Health;First Aid;1602;160202;Lumbucan;Finished;4;individuals
2;PRC;Health;Health;Rescued/Assisted;1602;160202;Lumbucan;Finished;1;individuals
3;PRC;Health;Health;BP Taking;1602;160202;Lumbucan;Finished;31;individuals
4;PRC;Relief;Hot Meals;Hot Meals;712;71242;Poblacion 2;Finished;75;individuals
5;PRC;Relief;Hot Meals;Hot Meals;712;71242;Poblacion 2;Finished;54;individuals
6;PRC;Relief;Water;Bottled Water;712;71242;Poblacion 2;Finished;162;individuals
7;PRC;Relief;Hot Meals;Hot Meals;712;71242;Poblacion 2;Finished;33;individuals
8;PRC;Health;PSS;Welfare Desk;712;71242;Poblacion 2;Finished;1;desk
9;PRC;Assessment;Assessment;Assessment;1013;101318;;Finished;1;activity
10;PRC;Assessment;Assessment;Assessment;1013;101320;;Finished;1;activity
11;PRC;Assessment;Assessment;Assessment;1013;101309;;Finished;1;activity
12;PRC;Relief;Hot Meals;Hot Meals;1013;101312;Poblacion;Finished;117;individuals
13;AUSAID-DFAT;Relief;Non-Food Items;Sleeping Kit (Blanket);1013;101309;Kiulom;Finished;108;families
14;AUSAID-DFAT;Relief;Non-Food Items;Sleeping Kit (Mat);1013;101309;Kiulom;Finished;108;families
15;AUSAID-DFAT;Relief;Non-Food Items;Sleeping Kit (Mosquito Net);1013;101309;Kiulom;Finished;108;families
16;AUSAID-DFAT;WASH;Non-Food Items;Jerry Can (10L);1013;101309;Kiulom;Finished;108;families
17;AUSAID-DFAT;WASH;Non-Food Items;Hygiene Kit;1013;101309;Kiulom;Finished;108;families
18;AUSAID-DFAT;Relief;Non-Food Items;Tarpaulin;1013;101309;Kiulom;Finished;108;families
19;AUSAID-DFAT;Relief;Non-Food Items;Sleeping Kit (Blanket);1013;101309;Panganan;Finished;182;families
20;AUSAID-DFAT;Relief;Non-Food Items;Sleeping Kit (Mat);1013;101309;Panganan;Finished;182;families
